取引日,入出金(円),取引後残高(円),入出金内容
20250321,-2480,25782,ラクテンペイ(ラクテンギンコウコウザバライ)
20250322,-4530,21252,VISAデビット A0921931
20250323,-400,20852,ラクテンペイ(ラクテンギンコウコウザバライ)
20250323,-800,20052,ラクテンペイ(ラクテンギンコウコウザバライ)
20250323,-2343,17709,VISAデビット A0368546
20250324,30000,47709,カ）レツドバロン
20250327,-1759,45950,VISAデビット B0903318
20250330,-20460,25490,ラクテンペイ(ラクテンギンコウコウザバライ)
20250330,-6589,18901,ラクテンペイ(ラクテンギンコウコウザバライ)
20250330,-110,18791,ラクテンペイ(ラクテンギンコウコウザバライ)
20250331,35,18826,預金利息
20250408,-550,18276,VISAデビット A0160129
20250416,-1609,16667,VISAデビット A0407909
20250417,-26,16641,VISAデビット B0407909
20250422,200000,216641,ワタナベ　タクミ
20250422,-15730,200911,VISAデビット A0917147
20250422,-90160,110751,みずほ銀行　上野支店　普通預金　8067155　コウリユウシヨウシ゛（カ（依頼人名：ワタナヘ゛　タクミ　振込予定日：2025年04月22日　管理番号：20250422-47545690）
20250422,-16980,93771,VISAデビット A0727325
20250422,-24006,69765,VISAデビット A0069326
20250423,-220,69545,ラクテンペイ(ラクテンギンコウコウザバライ)
20250427,-308,69237,ラクテンペイ(ラクテンギンコウコウザバライ)
20250501,-195,69042,ラクテンペイ(ラクテンギンコウコウザバライ)
20250501,-3220,65822,ラクテンペイ(ラクテンギンコウコウザバライ)
20250503,-7626,58196,VISAデビット A0617810
20250504,-6000,52196,VISAデビット A0552099
20250504,-7000,45196,VISAデビット A0995101
20250507,-3280,41916,ラクテンペイ(ラクテンギンコウコウザバライ)
20250508,-550,41366,VISAデビット A0162011
20250509,-3600,37766,楽天銀行コンビニ支払 福島県福島市 軽自動車税（種別割） 令和７年度 取引識別番号：NA202500007221191
20250509,10,37776,ハッピ－プログラム コンビニ支払サ－ビス
20250509,-1012,36764,ラクテンペイ(ラクテンギンコウコウザバライ)
20250516,-1648,35116,VISAデビット A0877886
20250516,-2050,33066,VISAデビット A0748249
20250516,-1660,31406,VISAデビット A0140390
20250517,-1130,30276,VISAデビット A0644494
20250517,2050,32326,VISAデビット A0748249
20250517,-27,32299,VISAデビット B0877886
20250519,-440,31859,ラクテンペイ(ラクテンギンコウコウザバライ)
20250519,-2990,28869,ラクテンペイ(ラクテンギンコウコウザバライ)
20250520,-7200,21669,VISAデビット A0550884
20250521,234185,255854,給与　フクシマケン　キユウヨ
20250522,-2072,253782,ラクテンペイ(ラクテンギンコウコウザバライ)
20250526,-1650,252132,ラクテンペイ(ラクテンギンコウコウザバライ)
20250527,-8933,243199,ラクテンカ－ト゛サ－ヒ゛ス
20250528,-10000,233199,VISAデビット A0200836
20250529,-1578,231621,ラクテンペイ(ラクテンギンコウコウザバライ)
20250529,-660,230961,ラクテンペイ(ラクテンギンコウコウザバライ)
20250529,-4030,226931,VISAデビット A0340594
20250530,-1700,225231,ラクテンペイ(ラクテンギンコウコウザバライ)
20250530,-9835,215396,ラクテンペイ(ラクテンギンコウコウザバライ)
20250530,-1800,213596,ラクテンペイ(ラクテンギンコウコウザバライ)
20250530,-2000,211596,ラクテンペイ(ラクテンギンコウコウザバライ)
20250530,-890,210706,ラクテンペイ(ラクテンギンコウコウザバライ)
20250530,-2130,208576,VISAデビット A0733933
20250530,-549,208027,ラクテンペイ(ラクテンギンコウコウザバライ)
20250530,-1658,206369,ラクテンペイ(ラクテンギンコウコウザバライ)
20250531,-8855,197514,ラクテンペイ(ラクテンギンコウコウザバライ)
20250602,-1600,195914,VISAデビット A0109635
20250603,-4998,190916,ラクテンペイ(ラクテンギンコウコウザバライ)
20250608,-550,190366,VISAデビット A0543174
20250614,-22690,167676,VISAデビット A0102596
20250616,-1613,166063,VISAデビット A0152173
20250616,-149,165914,ラクテンペイ(ラクテンギンコウコウザバライ)
20250617,-26,165888,VISAデビット B0152173
20250620,292597,458485,給与　フクシマケン　キユウヨ
20250620,-1628,456857,ラクテンペイ(ラクテンギンコウコウザバライ)
20250620,-1280,455577,VISAデビット A0119113
20250620,-17171,438406,VISAデビット A0035423
20250620,-2000,436406,VISAデビット A0966423
20250621,-690,435716,ラクテンペイ(ラクテンギンコウコウザバライ)
20250621,-118,435598,ラクテンペイ(ラクテンギンコウコウザバライ)
20250621,-15000,420598,ラクテンペイ(ラクテンギンコウコウザバライ)
20250621,13411,434009,ラクテンペイメント（カ
20250624,-2340,431669,ラクテンペイ(ラクテンギンコウコウザバライ)
20250624,-1280,430389,VISAデビット A0731290
20250624,-50000,380389,カ－ド出金　セブン銀行003401001115738
20250624,-763,379626,ラクテンペイ(ラクテンギンコウコウザバライ)
20250627,-6700,372926,ラクテンペイ(ラクテンギンコウコウザバライ)
20250627,-16877,356049,ラクテンカ－ト゛サ－ヒ゛ス
20250630,144968,501017,給与　フクシマケン　シヨウヨ
20250703,-2989,498028,VISAデビット A0537894
20250703,-1534,496494,ラクテンペイ(ラクテンギンコウコウザバライ)
20250705,-64800,431694,VISAデビット A0365055
20250707,-1320,430374,VISAデビット A0534253
20250708,-1400,428974,ラクテンペイ(ラクテンギンコウコウザバライ)
20250708,-550,428424,VISAデビット A0271650
20250708,-5280,423144,VISAデビット A0909766
20250710,-6282,416862,VISAデビット A0204515
20250712,-30000,386862,カ－ド出金　セブン銀行003401001115738
20250712,-1935,384927,VISAデビット A0342516
20250713,-11600,373327,VISAデビット A0073037
20250716,-1649,371678,VISAデビット A0022585
20250717,-3330,368348,ラクテンペイ(ラクテンギンコウコウザバライ)
20250717,-27,368321,VISAデビット B0022585
20250717,-2627,365694,VISAデビット B0036520
20250718,254185,619879,給与　フクシマケン　キユウヨ
20250718,-5740,614139,VISAデビット A0436545
20250720,-2250,611889,VISAデビット A0881787
20250720,-5090,606799,VISAデビット A0641708
20250720,-492,606307,ラクテンペイ(ラクテンギンコウコウザバライ)
20250720,-108,606199,ラクテンペイ(ラクテンギンコウコウザバライ)
20250721,-2640,603559,VISAデビット A0744169
20250721,-1653,601906,ラクテンペイ(ラクテンギンコウコウザバライ)
20250721,-990,600916,ラクテンペイ(ラクテンギンコウコウザバライ)
20250723,-159,600757,VISAデビット A0233369
20250723,-1800,598957,VISAデビット A0943421
20250724,-320,598637,VISAデビット A0199788
20250724,-495,598142,VISAデビット A0889857
20250728,-10000,588142,ラクテンカ－ト゛サ－ヒ゛ス
20250728,-200,587942,VISAデビット A0189212
20250728,200,588142,VISAデビット A0189212
20250728,-7683,580459,VISAデビット A0203232
20250729,-24750,555709,VISAデビット A0004427
20250730,4475,560184,０７ホケンフクシ　リヨヒ　　　（フクシマケン）
20250802,-2671,557513,VISAデビット B0561514
20250805,-50000,507513,カ－ド出金　セブン銀行003401001115738
20250807,1300,508813,０７ホケンフクシ　リヨヒ　　　（フクシマケン）
20250808,-550,508263,VISAデビット A0597539
20250809,-108,508155,ラクテンペイ(ラクテンギンコウコウザバライ)
20250811,-1224,506931,ラクテンペイ(ラクテンギンコウコウザバライ)
20250812,-1060,505871,（カ）シ゛エ－シ－ヒ゛－
20250812,7683,513554,VISAデビット A0203232
20250812,-7683,505871,VISAデビット A0904570
20250814,-600,505271,VISAデビット B0409618
20250814,-3060,502211,VISAデビット B0419618
20250815,-330,501881,ラクテンペイ(ラクテンギンコウコウザバライ)
20250815,-3685,498196,ラクテンペイ(ラクテンギンコウコウザバライ)
20250816,-1651,496545,VISAデビット A0053576
20250817,-1800,494745,VISAデビット A0869438
20250818,-27,494718,VISAデビット B0053576
20250820,-2520,492198,VISAデビット B0021664
20250821,271297,763495,給与　フクシマケン　キユウヨ
20250821,-1590,761905,ラクテンペイ(ラクテンギンコウコウザバライ)
20250825,-1200,760705,VISAデビット A0582182
20250826,-110,760595,ラクテンペイ(ラクテンギンコウコウザバライ)
20250826,-50000,710595,カ－ド出金　セブン銀行003401001115738
20250826,-289,710306,ラクテンペイ(ラクテンギンコウコウザバライ)
20250827,-560,709746,ラクテンカ－ト゛サ－ヒ゛ス
20250829,-1600,708146,VISAデビット A0052317
20250829,-211,707935,ラクテンペイ(ラクテンギンコウコウザバライ)
20250830,-2400,705535,VISAデビット A0311772
20250830,-499,705036,VISAデビット A0800977
20250903,-600,704436,VISAデビット B0412896
20250903,-2676,701760,VISAデビット B0422896
20250908,-550,701210,VISAデビット A0153322
20250908,-2256,698954,VISAデビット A0517499
20250910,-3040,695914,VISAデビット B0444359
20250912,-1615,694299,VISAデビット B0197464
20250914,-4400,689899,VISAデビット A0446578
20250914,-1800,688099,VISAデビット A0043718
20250915,-8210,679889,VISAデビット A0389977
20250916,-1650,678239,VISAデビット A0442453
20250916,-400,677839,VISAデビット A0640699
20250916,-1200,676639,VISAデビット A0641700
20250918,-27,676612,VISAデビット B0442453
20250918,-500,676112,VISAデビット B0186439
20250918,-1711,674401,VISAデビット B0196439
20250918,-805,673596,VISAデビット A0582683
20250919,275118,948714,給与　フクシマケン　キユウヨ
20250919,-1731,946983,VISAデビット A0818206
20250920,-13,946970,VISAデビット B0582683
20250921,22,946992,給与・賞与・年金受取ボ－ナス金利利息
20250921,8,947000,デビットカ－ド利用（5-19件）ボ－ナス金利利息
20250921,-50000,897000,カ－ド出金　セブン銀行003401001115738
20250921,-29,896971,VISAデビット B0818206
20250922,-2112,894859,VISAデビット A0153469
20250924,-117,894742,ラクテンペイ(ラクテンギンコウコウザバライ)
20250925,-2800,891942,VISAデビット A0712138
20250927,1750,893692,VISAデビット B0791969
20250929,-72605,821087,ラクテンカ－ト゛サ－ヒ゛ス
20250929,-3204,817883,VISAデビット A0200373
20250930,420,818303,預金利息
20250930,-13980,804323,VISAデビット A0895483
20250930,-268,804055,ラクテンペイ(ラクテンギンコウコウザバライ)
20250930,-4300,799755,VISAデビット A0675409
20250930,-12360,787395,VISAデビット A0115515
20250930,-6755,780640,VISAデビット A0978740
20250930,-4442,776198,VISAデビット A0455891
20250930,-802,775396,ラクテンペイ(ラクテンギンコウコウザバライ)
20251001,-1076,774320,ラクテンペイ(ラクテンギンコウコウザバライ)
20251001,-10472,763848,VISAデビット A0878043
20251001,-20,763828,VISAデビット A0859063
20251001,20,763848,VISAデビット A0859063
20251001,-1875,761973,VISAデビット A0150073
20251001,-2000,759973,VISAデビット A0607272
20251001,-1000,758973,VISAデビット A0475258
20251001,-6365,752608,VISAデビット A0625278
20251001,1875,754483,VISAデビット A0150073
20251002,-19600,734883,VISAデビット A0603607
20251002,-1000,733883,VISAデビット A0696617
20251002,-2118,731765,VISAデビット A0952782
20251003,-6895,724870,VISAデビット A0067178
20251004,-2,724868,VISAデビット B0290439
20251007,-2185,722683,VISAデビット B0767167
20251008,-550,722133,VISAデビット A0174738
20251012,-1200,720933,VISAデビット A0480848
20251013,-10000,710933,カ－ド出金　セブン銀行003401001107218
20251013,-1200,709733,VISAデビット A0905354
20251013,-1000,708733,VISAデビット A0108459
20251013,-1670,707063,VISAデビット A0410610
20251015,-400,706663,VISAデビット A0496384
20251015,-1100,705563,VISAデビット A0948384
20251016,-929,704634,VISAデビット A0250684
20251017,-15,704619,VISAデビット B0250684
20251017,-2565,702054,VISAデビット B0993275
20251017,-2652,699402,VISAデビット B0904275
20251019,-3254,696148,VISAデビット A0581546
20251020,-2736,693412,VISAデビット B0940727
20251021,279187,972599,給与　フクシマケン　キユウヨ
20251021,-223,972376,ラクテンペイ(ラクテンギンコウコウザバライ)
20251023,-97200,875176,VISAデビット A0497026
20251027,-2054,873122,ラクテンカ－ト゛サ－ヒ゛ス
20251027,-1579,871543,VISAデビット A0738424
20251027,-40000,831543,カ－ド出金　セブン銀行003401001115738
20251028,-979,830564,VISAデビット A0546883
20251029,-1100,829464,VISAデビット A0821272
20251029,-500,828964,VISAデビット B0957257
20251029,-1465,827499,VISAデビット B0967257
20251029,-12960,814539,VISAデビット A0827375
20251029,-524,814015,VISAデビット A0673452
20251030,-1024,812991,VISAデビット A0937026
20251101,-17,812974,VISAデビット B0937026
20251102,-2420,810554,VISAデビット A0265472
20251103,-20000,790554,カ－ド出金　セブン銀行003401001107218
20251103,-5490,785064,VISAデビット A0701927
20251104,-3309,781755,VISAデビット B0286248
20251105,-11220,770535,VISAデビット A0628809
20251105,-1199,769336,VISAデビット A0846972
20251105,-220,769116,VISAデビット A0670983
20251105,-2552,766564,VISAデビット A0676168
20251106,-5770,760794,VISAデビット A0947336
20251107,-500,760294,VISAデビット B0267823
20251107,-1791,758503,VISAデビット B0277823
20251108,-550,757953,VISAデビット A0270206
20251108,-2848,755105,VISAデビット B0037333
20251108,-684,754421,VISAデビット A0927388
20251110,-6150,748271,（カ）シ゛エ－シ－ヒ゛－
20251110,-1800,746471,VISAデビット A0930383
20251114,-1025,745446,VISAデビット A0186313
20251115,-110,745336,VISAデビット A0404090
20251116,-942,744394,VISAデビット A0175247
20251117,-16,744378,VISAデビット B0175247
20251118,-2000,742378,VISAデビット A0737356
20251119,650,743028,オオザソウガクリヨヒ　　　（フクシマケン）
20251120,-1500,741528,VISAデビット A0429290
20251120,-2387,739141,VISAデビット A0217364
20251121,270718,1009859,給与　フクシマケン　キユウヨ
20251122,-793,1009066,VISAデビット A0635268
20251123,-1110,1007956,VISAデビット A0317751
20251124,-18,1007938,VISAデビット B0317751
20251124,-3487,1004451,VISAデビット A0646412
20251124,-600,1003851,VISAデビット A0754588
20251125,5775,1009626,０７ホケンフクシ　リヨヒ　　　（フクシマケン）
20251125,-7495,1002131,VISAデビット A0563835
20251125,-2000,1000131,VISAデビット A0663974
20251127,-22054,978077,ラクテンカ－ト゛サ－ヒ゛ス
20251127,-8700,969377,VISAデビット A0719859
20251127,-2900,966477,VISAデビット A0170007
20251201,-2441,964036,VISAデビット B0949253
20251201,-40000,924036,カ－ド出金　セブン銀行003401001115738
20251202,-13072,910964,VISAデビット A0988868
20251204,-1082,909882,VISAデビット A0706978
20251205,-18,909864,VISAデビット B0706978
20251208,-550,909314,VISAデビット A0235808
20251209,13072,922386,VISAデビット B0286388
20251209,-600,921786,VISAデビット A0485763
20251210,472798,1394584,給与　フクシマケン　シヨウヨ
20251210,-153053,1241531,VISAデビット A0454255
20251212,-1500,1240031,VISAデビット A0624989
20251213,-220,1239811,VISAデビット A0529822
20251216,-950,1238861,VISAデビット A0420076
20251216,-3199,1235662,VISAデビット B0362128
20251217,-16,1235646,VISAデビット B0420076
20251219,323035,1558681,給与　フクシマケン　キユウヨ
20251219,-1055,1557626,VISAデビット A0753668
20251219,-8040,1549586,VISAデビット A0659688
20251219,-2000,1547586,VISAデビット A0809706
20251219,-1280,1546306,VISAデビット A0179915
20251220,-650,1545656,VISAデビット A0987345
20251220,-1045,1544611,VISAデビット A0258478
20251220,-12445,1532166,VISAデビット A0847658
20251221,-40700,1491466,VISAデビット A0334915
20251223,-957,1490509,VISAデビット A0241034
20251223,-2178,1488331,VISAデビット A0698076
20251223,-3223,1485108,VISAデビット A0453098
20251224,-1200,1483908,VISAデビット A0523319
20251224,-50000,1433908,カ－ド出金　セブン銀行003401001115738
20251224,-8950,1424958,VISAデビット A0284469
20251224,-6790,1418168,VISAデビット A0194851
20251226,159309,1577477,給与　フクシマケン　キユウヨ
20251227,-2000,1575477,VISAデビット A0282128
20251227,-3560,1571917,VISAデビット A0648285
20251227,-5440,1566477,VISAデビット A0513299
20251227,-3210,1563267,VISAデビット A0869523
20251228,-2868,1560399,VISAデビット B0867776
20251228,-3102,1557297,VISAデビット A0676198
20251229,-22054,1535243,ラクテンカ－ト゛サ－ヒ゛ス
20251229,-200,1535043,VISAデビット A0075377
20251229,-737,1534306,VISAデビット A0645432
20251229,-613,1533693,VISAデビット A0811797
20251230,-2000,1531693,VISAデビット A0033922
20251230,-2290,1529403,VISAデビット A0884979
20251230,-56712,1472691,VISAデビット A0783340
20260103,-8628,1464063,VISAデビット A0238767
20260103,-2740,1461323,VISAデビット A0465777
20260104,-500,1460823,VISAデビット A0945297
20260108,-550,1460273,VISAデビット A0125227
20260110,-30000,1430273,カ－ド出金　セブン銀行003401001107218
20260110,-1375,1428898,VISAデビット A0632411
20260110,-2093,1426805,VISAデビット A0342540
20260110,-1930,1424875,VISAデビット A0942645
20260112,-1480,1423395,VISAデビット A0972834
20260114,-1100,1422295,VISAデビット A0982547
20260115,-848,1421447,VISAデビット A0515885
20260116,-971,1420476,VISAデビット A0451353
20260116,-3668,1416808,VISAデビット A0732661
20260117,-15,1416793,VISAデビット B0451353
20260117,-2364,1414429,VISAデビット B0444899
20260117,-286,1414143,ラクテンペイ(ラクテンギンコウコウザバライ)
20260118,-171,1413972,ラクテンペイ(ラクテンギンコウコウザバライ)
20260120,-19778,1394194,VISAデビット A0900462
20260120,-300,1393894,VISAデビット A0504744
20260121,288051,1681945,給与　フクシマケン　キユウヨ
20260122,-300,1681645,VISAデビット A0265276
20260122,-460,1681185,VISAデビット A0338276
20260124,-2980,1678205,VISAデビット A0732584
20260124,-35640,1642565,VISAデビット A0548608
20260124,-40000,1602565,カ－ド出金　セブン銀行003401001115738
20260124,-451,1602114,VISAデビット A0104734
20260127,-71178,1530936,ラクテンカ－ト゛サ－ヒ゛ス
20260128,-2327,1528609,VISAデビット B0041541
20260131,-2000,1526609,VISAデビット A0904182
20260203,-1054,1525555,VISAデビット A0561995
20260205,-17,1525538,VISAデビット B0561995
20260206,-500,1525038,VISAデビット A0260413
20260206,-100,1524938,VISAデビット A0550423
20260206,-100,1524838,VISAデビット A0553433
20260206,-1000,1523838,VISAデビット A0695433
20260207,-2000,1521838,VISAデビット A0909841
20260207,-4323,1517515,VISAデビット A0047940
20260207,-9690,1507825,VISAデビット A0617946
20260208,-660,1507165,VISAデビット A0307110
20260208,-2000,1505165,VISAデビット A0153214
20260208,-4563,1500602,VISAデビット A0561217
20260208,-1080,1499522,VISAデビット A0154297
20260208,-2700,1496822,VISAデビット A0367320
20260208,-190,1496632,VISAデビット A0190330
20260208,-751,1495881,VISAデビット A0307432
20260212,-1010,1494871,VISAデビット A0826560
20260216,-935,1493936,VISAデビット A0424127
20260217,-15,1493921,VISAデビット B0424127
20260217,-2920,1491001,VISAデビット B0200733
20260220,353273,1844274,給与　フクシマケン　キユウヨ
20260221,-2000,1842274,VISAデビット A0374883
20260221,2000,1844274,VISAデビット A0374883
20260221,-7000,1837274,VISAデビット A0895804
20260224,-5500,1831774,VISAデビット A0428554
20260224,-2500,1829274,VISAデビット A0406595
20260224,-200,1829074,VISAデビット A0522506
20260225,-2000,1827074,VISAデビット A0224799
20260225,-2890,1824184,VISAデビット A0378933
20260225,-40000,1784184,カ－ド出金　セブン銀行003401001115738
20260225,-680,1783504,VISAデビット A0931016
20260227,-23154,1760350,ラクテンカ－ト゛サ－ヒ゛ス
20260306,-1937,1758413,VISAデビット A0114758
20260306,-45300,1713113,ラクテンショウケンカブシキガイシャ （国内株式買付代金）
20260306,-168225,1544888,ラクテンショウケンカブシキガイシャ （国内株式買付代金）
20260307,-32,1544856,VISAデビット B0114758
20260307,-2589,1542267,VISAデビット B0555159
20260308,-750,1541517,VISAデビット A0108645
20260308,-300,1541217,VISAデビット A0608655
20260308,-800,1540417,VISAデビット A0770655
20260308,-660,1539757,VISAデビット A0855853
20260309,650,1540407,オオザソウガクリヨヒ　　　（フクシマケン）
20260309,-1260,1539147,VISAデビット A0474385
20260310,28500,1567647,ラクテンショウケンカブシキガイシャ （自動スイ－プ）
20260311,-3529,1564118,VISAデビット A0695772
20260313,-150,1563968,VISAデビット A0838317
20260313,-2200,1561768,VISAデビット A0544471
20260313,-57,1561711,VISAデビット B0695772
20260315,-4760,1556951,VISAデビット A0903632
20260315,-6000,1550951,VISAデビット A0996687
20260315,-314,1550637,VISAデビット A0134793
20260316,-973,1549664,VISAデビット A0542925
20260317,-16,1549648,VISAデビット B0542925
20260317,-1506,1548142,VISAデビット B0412609
20260319,296488,1844630,給与　フクシマケン　キユウヨ
20260320,-40000,1804630,カ－ド出金　セブン銀行003401001115738
20260320,-2000,1802630,VISAデビット A0217275
20260321,133,1802763,給与・賞与・年金受取ボ－ナス金利利息
20260321,15,1802778,口座振替（楽天カ－ド以外の引き落とし：1-2件）ボ－ナス金利利息
