区分,ルール名,売買条件例,狙い・特徴
買い,BB上限張り付き,"過去5日のうち3日以上で終値 > +1σ かつ 終値が20日MAを下回らない","強い銘柄が強いまま上がる局面を狙う"
買い,BB収縮後のギャップ上放れ,"BB幅が過去120日下位25% かつ 当日始値 > 前日高値 かつ 終値 > +2σ","材料発生後の大陽線・窓開け継続を狙う"
売り,BB上限失速利確,"終値 > +2σの翌日以降、終値 < +1σ かつ 高値更新失敗","バンドウォーク終了時の利益確定。勝ちトレードの利益を守る"
売り,BB中央線割れ手仕舞い,"買い建て後、終値 < 20日MA かつ 20日MAが横ばいまたは下向き","上昇トレンド崩れを早めに検知する"
売り,BB幅急拡大後の反落,"BB幅が過去120日上位20% かつ 終値 < +1σ かつ 前日比マイナス","過熱後の反落を避ける。高ボラ局面の利益確定"
売り,BB下方ブレイク回避,"終値 < -2σ かつ 20日MA下向き かつ BB幅拡大","下落トレンド加速の回避またはショート候補"
買い,MACDゴールデンクロス,"MACDがシグナルを下から上抜け かつ MACDヒストグラムが2日連続改善","モメンタム反転の初動を狙う"
買い,MACDゼロライン上抜け,"MACD > 0へ転換 かつ シグナル > 0 かつ 終値 > 20日高値","短期EMAが長期EMAを上回る強い上昇局面を狙う"
買い,MACDヒストグラム加速,"MACDヒストグラムが3日連続上昇 かつ 終値が5日高値を更新","価格上昇とモメンタム加速が一致する局面を狙う"
買い,MACD押し目再加速,"MACD > 0 かつ ヒストグラムが一度低下後に再上昇 かつ 終値 > 20日MA","上昇トレンド中の再加速を狙う。初回クロスよりダマシを減らす"
買い,MACD強気ダイバージェンス,"価格が安値更新 かつ MACDは安値を切り上げ かつ 翌日終値 > 前日高値","下落圧力の弱まりから反発を狙う"
買い,MACD高位安定,"MACD > 0 かつ シグナル > 0 かつ 両方が5日連続上昇","明確な上昇モメンタムだけに絞る高勝率型"
売り,MACDデッドクロス,"MACDがシグナルを上から下抜け かつ ヒストグラム < 0","上昇モメンタム低下時の手仕舞い"
売り,MACDゼロライン下抜け,"MACD < 0へ転換 かつ 終値 < 20日MA","トレンド悪化を確認して撤退する"
売り,MACDヒストグラム減速,"MACDヒストグラムが3日連続低下 かつ 終値が5日安値を更新","価格下落とモメンタム悪化の一致を確認する"
売り,MACD弱気ダイバージェンス,"価格が高値更新 かつ MACDは高値を切り下げ かつ 翌日終値 < 前日安値","上昇トレンド終盤の失速を検知する"
買い,BBスクイーズ＋MACD上向き,"BB幅が過去120日下位20% かつ 終値 > +2σ かつ MACD > シグナル かつ ヒストグラム > 0","最も重視したい候補。ボラ拡大とモメンタム転換が同時に出る局面を狙う"
買い,BB上放れ＋MACDゼロ上,"終値 > +2σ かつ MACD > 0 かつ シグナル > 0 かつ 20日MA上向き","強い上昇トレンドへの順張り。正答時の騰落率を狙う"
買い,BB中央線押し目＋MACD再加速,"終値が20日MA近辺まで下落後に反発 かつ MACD > 0 かつ ヒストグラムが再上昇","トレンド銘柄の押し目を拾う。勝率重視"
買い,BB下限反発＋MACD強気ダイバージェンス,"安値 < -2σ かつ 終値 > -1σ かつ 価格は安値更新 かつ MACDは安値切り上げ","急落後の反転を厳選。逆張りだが確認条件を多くしてダマシを減らす"
買い,BBバンドウォーク＋MACD高位継続,"終値が+1σ以上で3日以上推移 かつ MACD > 0 かつ ヒストグラムが0以上を維持","強いトレンドの継続局面を狙う。利を伸ばす前提"
買い,BB収縮ブレイク＋MACD出来高確認,"BB幅が過去120日下位25% かつ 終値 > +2σ かつ MACD > シグナル かつ 出来高 > 20日平均の1.5倍","ブレイクの信頼度を出来高で補強する"
買い,BBフェイク下抜け＋MACD改善,"一時的に-2σ割れ後、終値が20日MAを回復 かつ MACDヒストグラムが3日連続改善","下抜け失敗からの踏み上げ・買い戻しを狙う"
買い,BB高値更新＋MACD二段上げ,"終値 > 過去20日高値 かつ 終値 > +1σ かつ MACDヒストグラムが前回ピークを更新","トレンドの二段上げを狙う。正答時リターン重視"
売り,BB上限失速＋MACDデッドクロス,"終値 < +1σ かつ MACDがシグナルを下抜け かつ ヒストグラム < 0","上昇トレンド失速を確認して利確する"
売り,BB中央線割れ＋MACD悪化,"終値 < 20日MA かつ MACDヒストグラムが3日連続低下","押し目ではなくトレンド崩れの可能性が高い局面で撤退"
売り,BB高ボラ反落＋MACD弱気化,"BB幅が過去120日上位20% かつ 終値 < +1σ かつ MACDヒストグラム < 0","過熱後の反落を回避。大きな含み益を守る"
売り,BB下抜け＋MACDゼロ下,"終値 < -2σ かつ MACD < 0 かつ シグナル < 0","下落加速を確認。ロング回避またはショート候補"
売り,BB弱気ダイバージェンス確認,"価格が+2σ付近で高値更新 かつ MACDは高値切り下げ かつ 終値 < 前日安値","高値圏の天井形成を狙う"
買い,高勝率フィルター付きBB＋MACD,"終値 > +2σ かつ MACD > シグナル かつ 20日MA > 60日MA かつ 60日MA > 120日MA","上位足トレンドと短期ブレイクを一致させる。勝率優先"
買い,高騰落率フィルター付きBB＋MACD,"BB幅が過去120日下位15% かつ 終値 > +2σ かつ MACDヒストグラムが直近20日最大 かつ 出来高急増","大きく伸びる初動だけを狙う。シグナル数は少ないが期待値重視"
売り,誤シグナル回避ルール,"買いシグナル後3日以内に終値 < 20日MA または MACDヒストグラム < 0なら撤退","ブレイク失敗を早期損切りし、勝率と平均損益を改善する"
売り,利伸ばし型トレーリング,"買い後、終値が+1σ以上なら保有継続し、終値 < 20日MA または MACDデッドクロスで売却","正答時の騰落率を伸ばすため、早すぎる利確を避ける"
